TITOLO,DESCRIZIONE,PREZZO,CURRENCY_CODE,QUANTITÀ,TAG,MATERIALI,IMMAGINE1,IMMAGINE2,IMMAGINE3,IMMAGINE4,IMMAGINE5,IMMAGINE6,IMMAGINE7,IMMAGINE8,IMMAGINE9,IMMAGINE10,"TIPO VARIANTE 1","NOME VARIANTE 1","VALORI VARIANTE 1","TIPO VARIANTE 2","NOME VARIANTE 2","VALORI VARIANTE 2",SKU
"Hylian Shield - Pepakura - Foam","This kit contains the patterns for the Hylian shield from The legend of Zelda (only for foam).


The file is compressed in a .zip folder, which includes the .pdo file: Hylian Shield

The shield is 56 cm tall and 45 cm wide, but you can scale it with Pepakura Designer (this is an example, https://www.youtube.com/watch?v=QG2YFwpU4ck).

You can open the file with Pepakura Designer (Free) for Windows, if it's your first time with pepakura you can find tutorials on youtube, but i recommend you to have at least a bit of knowledge on how to use it.

Some parts are divided in half, but you can mirror them in order to obtain the other half. The foam thickness  varies from 5 mm to 10 mm.",5,EUR,996,"hylian_shield,zelda,link,master_sword,ganondorf,navi,pepakura,pattern,model,foam,breath_of_the_wild,armor,cosplay",,https://i.etsystatic.com/22599197/r/il/db23a0/2513965001/il_fullxfull.2513965001_j3y6.jpg,https://i.etsystatic.com/22599197/r/il/92ee40/2513964703/il_fullxfull.2513964703_qszw.jpg,,,,,,,,,,,,,,,
"Tom Nook's wearable head Pepakura - Foam","This kit contains the patterns for Tom Nook's head from Animal Crossing (only for foam).


The file is compressed in a .zip folder, which includes the .pdo file: Nook head.

The model is 30 cm wide with a circumference of 90 cm, but you can scale it with Pepakura Designer (this is an example, https://www.youtube.com/watch?v=QG2YFwpU4ck).

You can open the file with Pepakura Designer (Free) for Windows, if it's your first time with pepakura you can find tutorials on youtube, but i recommend you to have at least a bit of knowledge on how to use it.

Some parts are divided in half, but you can mirror them in order to obtain the other half.",5.5,EUR,995,"foam,pepakura,cosplay,cosplayer,pattern,patterns,model,animal_crossing,tom_nook,new_horizons,head,models,costume",,https://i.etsystatic.com/22599197/r/il/54725d/2401240394/il_fullxfull.2401240394_4cxh.jpg,https://i.etsystatic.com/22599197/r/il/639c63/2401240466/il_fullxfull.2401240466_ifiz.jpg,https://i.etsystatic.com/22599197/r/il/846c87/2448871189/il_fullxfull.2448871189_ishg.jpg,https://i.etsystatic.com/22599197/r/il/61beaf/2401290102/il_fullxfull.2401290102_ozjr.jpg,,,,,,,,,,,,,
"Dedue Armor Pepakura - Foam","This kit contains the patterns for Dedue's full armor from the game Fire Emblem Three Houses (only for foam, from 5mm to 10mm).


The file is compressed in a .zip folder, which includes the .pdo file: Dedue Full Armor.

The model includes all the armor pieces in the same file and a folder with textures. It's based on a person of 5'11'' (180cm), but you can scale the armor with Pepakura Designer (this is an example, https://www.youtube.com/watch?v=QG2YFwpU4ck).

You can open the file with Pepakura Designer (Free) for Windows, if it's your first time with pepakura you can find tutorials on youtube, but i recommend you to have at least a bit of knowledge on how to use it.

Some parts are divided in half, but you can mirror them in order to obtain the other half.",18,EUR,996,"fire_emblem,three_houses,dedue,full_armor,pepakura,foam,pattern,patterns,craft,cosplay,cosplayer,model,models",,https://i.etsystatic.com/22599197/r/il/6f474f/2355178557/il_fullxfull.2355178557_1j3d.jpg,https://i.etsystatic.com/22599197/r/il/9f179b/2307577590/il_fullxfull.2307577590_4mvu.jpg,https://i.etsystatic.com/22599197/r/il/4ebfec/2355178311/il_fullxfull.2355178311_ah4e.jpg,https://i.etsystatic.com/22599197/r/il/e7dfb2/2355178365/il_fullxfull.2355178365_mi0b.jpg,,,,,,,,,,,,,
"Rhea Head Accessories Pepakura - Foam","This kit contains the patterns for Rhea's ornaments from the game Fire Emblem Three Houses (only for foam).


The file is compressed in a .zip folder, which includes the .pdo file: Ornaments

The model includes all the accessories and the crown in the same file and a folder with textures. The head section is 24 cm wide, but you can scale it with Pepakura Designer (this is an example, https://www.youtube.com/watch?v=QG2YFwpU4ck).

It doesn't include small objects like tiny pearls, which are impossible to make in foam.

You can open the file with Pepakura Designer (Free) for Windows, if it's your first time with pepakura you can find tutorials on youtube, but i recommend you to have at least a bit of knowledge on how to use it.

Some parts are divided in half, but you can mirror them in order to obtain the other half.",3.5,EUR,998,"cosplay,costume,accessories,rhea,fire_emblem,three_houses,foam,pepakura,patterns,crown,ornament,model,papercraft",,https://i.etsystatic.com/22599197/r/il/dab0dc/2235649898/il_fullxfull.2235649898_n7yl.jpg,https://i.etsystatic.com/22599197/r/il/044f66/2283243455/il_fullxfull.2283243455_y5sw.jpg,https://i.etsystatic.com/22599197/r/il/1c5bf5/2268454056/il_fullxfull.2268454056_pp1s.jpg,https://i.etsystatic.com/22599197/r/il/10c4e7/2235780426/il_fullxfull.2235780426_l4uz.jpg,https://i.etsystatic.com/22599197/r/il/c5386d/2283374693/il_fullxfull.2283374693_decb.jpg,,,,,,,,,,,,
"Byleth female armor Pepakura - Foam","This kit contains the patterns for Byleth female armor from the game Fire Emblem Three Houses (only for foam, from 5mm to 10mm).


The file is compressed in a .zip folder, which includes the .pdo files: Byleth female armor, Dagger

The model includes the armor file and a folder with textures. It's based on a person of 5'7'', but you can scale it with Pepakura Designer (this is an example, https://www.youtube.com/watch?v=QG2YFwpU4ck).

You can open the file with Pepakura Designer (Free) for Windows, if it's your first time with pepakura you can find tutorials on youtube, but i recommend you to have at least a bit of knowledge on how to use it.

Some parts are divided in half, but you can mirror them in order to obtain the other half.",7,EUR,992,"cosplay,costume,byleth,fire_emblem,three_houses,female_armor,armor,foam,cosplay_armor,pepakura,pattern,model,models",,https://i.etsystatic.com/22599197/r/il/c949dd/2242136350/il_fullxfull.2242136350_1mgz.jpg,https://i.etsystatic.com/22599197/r/il/ca6a4a/2289732833/il_fullxfull.2289732833_hniz.jpg,https://i.etsystatic.com/22599197/r/il/08eb7e/2289733213/il_fullxfull.2289733213_31hk.jpg,https://i.etsystatic.com/22599197/r/il/834ec6/2289733339/il_fullxfull.2289733339_f2pb.jpg,,,,,,,,,,,,,
"Dark Samus helmet - Foam Pattern Pepakura","This kit contains the patterns for Dark Samus helmet (only for foam).


The file is compressed in a .zip folder, which includes the .pdo file: Helmet

The model includes the helmet file, based on a person of 5'7''. The helmet is 22 cm wide and 24 cm tall, but you can scale it with Pepakura Designer (this is an example, https://www.youtube.com/watch?v=QG2YFwpU4ck).

You can open the file with Pepakura Designer (Free) for Windows, if it's your first time with pepakura you can find tutorials on youtube, but i recommend you to have at least a bit of knowledge on how to use it.

Some parts are divided in half, but you can mirror them in order to obtain the other half. The foam thickness varies from 5 mm to 10 mm.",5.5,EUR,994,"helmet,metroid,dark_samus,pepakura,foam,pattern,patterns,model,samus,armor,models,cosplay,led",,https://i.etsystatic.com/22599197/r/il/f13970/2482359439/il_fullxfull.2482359439_ewn4.jpg,https://i.etsystatic.com/22599197/r/il/6b28a3/2434729068/il_fullxfull.2434729068_1obc.jpg,https://i.etsystatic.com/22599197/r/il/04164e/2482359553/il_fullxfull.2482359553_3dgt.jpg,https://i.etsystatic.com/22599197/r/il/588847/2434729304/il_fullxfull.2434729304_q90k.jpg,,,,,,,,,,,,,
"Mewtwo full armor - Pepakura - Foam","This kit contains the full armor set of Mewtwo from Mewtwo strikes back! (it can be used only for foam.

The files are compressed in a .zip folder, which includes a .pdo file for each piece of armor:
helmet, torso, shoulder, forearm, leg and a folder with textures.

You can open the files with Pepakura Designer (Free) for Windows, if it's your first time with pepakura you can find tutorials on youtube, but i recommend you to have at least a bit of knowledge on how to use it.

The pieces are based on a person of 5'7'', but you can scale them with Pepakura Designer (this is an example, https://www.youtube.com/watch?v=QG2YFwpU4ck).

Some parts are divided in half, but you can mirror them in order to obtain the other half.",15,EUR,997,"mewtwo,mew,armor,pepakura,foam,model,patterns,pokèmon,pikachu,helmet,cosplay,models,pattern",,https://i.etsystatic.com/22599197/r/il/cb9629/2488932758/il_fullxfull.2488932758_fbxd.jpg,https://i.etsystatic.com/22599197/r/il/7de4f5/2536597183/il_fullxfull.2536597183_nkat.jpg,https://i.etsystatic.com/22599197/r/il/dd365c/2536602185/il_fullxfull.2536602185_40k0.jpg,https://i.etsystatic.com/22599197/r/il/38c1c4/2536597759/il_fullxfull.2536597759_rsn7.jpg,https://i.etsystatic.com/22599197/r/il/dc1850/2488926946/il_fullxfull.2488926946_p8sm.jpg,,,,,,,,,,,,
"Custom Order - DON'T BUY",.,105,EUR,1,,,https://i.etsystatic.com/22599197/r/il/808e78/4983139658/il_fullxfull.4983139658_ap0u.jpg,,,,,,,,,,,,,,,,
"Claude shoulder Pepakura - Foam","This kit contains the patterns for Claude's shoulder from the game Fire Emblem Three Houses (only for foam).


The file is compressed in a .zip folder, which includes the .pdo file: Shoulder

The model includes the shoulder file and a folder with textures. It's based on a person of 5'7'', but you can scale it with Pepakura Designer (this is an example, https://www.youtube.com/watch?v=QG2YFwpU4ck).

You can open the file with Pepakura Designer (Free) for Windows, if it's your first time with pepakura you can find tutorials on youtube, but i recommend you to have at least a bit of knowledge on how to use it.

Some parts are divided in half, but you can mirror them in order to obtain the other half.",3.5,EUR,993,"cosplay,costume,claude,fire_emblem,three_houses,pepakura,pattern,foam,accessories,model,models,patterns,armor",,https://i.etsystatic.com/22599197/r/il/aa5df8/2289653639/il_fullxfull.2289653639_pw75.jpg,https://i.etsystatic.com/22599197/r/il/44b0d7/2242057208/il_fullxfull.2242057208_3yd2.jpg,https://i.etsystatic.com/22599197/r/il/daeef3/2242057248/il_fullxfull.2242057248_rx95.jpg,,,,,,,,,,,,,,
"Falchion Sword Pepakura - Foam","This kit contains the patterns for Falchion sword from Fire Emblem (only for foam).


The file is compressed in a .zip folder, which includes the .pdo file: Falchion

The model includes the sword file and a folder with textures. The sword is 1 meter long, but you can scale it with Pepakura Designer (this is an example, https://www.youtube.com/watch?v=QG2YFwpU4ck).

You can open the file with Pepakura Designer (Free) for Windows, if it's your first time with pepakura you can find tutorials on youtube, but i recommend you to have at least a bit of knowledge on how to use it.

Some parts are divided in half, but you can mirror them in order to obtain the other half.",3,EUR,998,"fire_emblem,falchion,lucina,sword,foam,pepakura,cosplay,pattern,patterns,model,costume,models,cosplayer",,https://i.etsystatic.com/22599197/r/il/f09c8c/2419886572/il_fullxfull.2419886572_blti.jpg,https://i.etsystatic.com/22599197/r/il/2a63d1/2467507469/il_fullxfull.2467507469_83m4.jpg,,,,,,,,,,,,,,,
"Mordred Armor - Pepakura - Foam","This kit contains the patterns for Mordred Pendragon from fate apocrypha (only for foam).


The file is compressed in a .zip folder, which includes the .pdo file: Torso, Shoulder. Bracelet, Forearm, Forearm Plate, Hand, Skirt, Leg, Boot.

The model includes the full armor, based on a person of 5'7'', but you can scale it with Pepakura Designer (this is an example, https://www.youtube.com/watch?v=QG2YFwpU4ck).

You can open the file with Pepakura Designer (Free) for Windows, if it's your first time with pepakura you can find tutorials on youtube, but i recommend you to have at least a bit of knowledge on how to use it.

Some parts are divided in half, but you can mirror them in order to obtain the other half.",17,EUR,997,"mordred,fate,apocrypha,pendragon,saber,armor,foam,pepakura,model,models,cosplay,pattern,3d",,https://i.etsystatic.com/22599197/r/il/fc3b7e/2707457748/il_fullxfull.2707457748_d1jc.jpg,https://i.etsystatic.com/22599197/r/il/1a2b52/2755089661/il_fullxfull.2755089661_enta.jpg,https://i.etsystatic.com/22599197/r/il/9f6fd8/2755089149/il_fullxfull.2755089149_9tcm.jpg,https://i.etsystatic.com/22599197/r/il/15c5c4/2755090311/il_fullxfull.2755090311_j7kn.jpg,,,,,,,,,,,,,
"Spiny Hat Pepakura - Foam","This kit contains the patterns for the Spiny from Super Mario (only for foam).

The file is compressed in a .zip folder, which includes the .pdo file: Spiny Hat and two PDF files containing only the papercraft, one with textures and the other one without textures.

The head cavity is 27 cm long and 25 cm wide, but you can scale it with Pepakura Designer (this is an example, https://www.youtube.com/watch?v=QG2YFwpU4ck).

You can open the file with Pepakura Designer (Free) for Windows, if it's your first time with pepakura you can find tutorials on youtube, but i recommend you to have at least a bit of knowledge on how to use it.

Some parts are divided in half, but you can mirror them in order to obtain the other half.",4,EUR,998,"super_mario,spiny,luigi,peach,bowser,nintendo,pepakura,foam,model,models,cosplay,papercraft,3d",,https://i.etsystatic.com/22599197/r/il/47ed11/4980170886/il_fullxfull.4980170886_kmk5.jpg,https://i.etsystatic.com/22599197/r/il/af5306/4980171196/il_fullxfull.4980171196_7f5r.jpg,,,,,,,,,,,,,,,
"Three Houses Armor Pack Pepakura - Foam","This pack contains the patterns for both Byleth's male and female armor, Dedue Full Armor, Rhea Ornaments and Claude's Shoulder from the game Fire Emblem Three Houses (only for foam, from 5mm to 10mm).


The files are compressed in a .zip folder, which includes the .pdo file: Byleth male armor, Dagger, Byleth female armor, Dedue Full Armor, Rhea Ornaments, Claude Shoulder and Catherine Full Armor.

The models include all the armor pieces in the same file and a folder with textures. They're based on a person of 5'7'', but you can scale the armor with Pepakura Designer (this is an example, https://www.youtube.com/watch?v=QG2YFwpU4ck).

You can open the file with Pepakura Designer (Free) for Windows, if it's your first time with pepakura you can find tutorials on youtube, but i recommend you to have at least a bit of knowledge on how to use it.

Some parts are divided in half, but you can mirror them in order to obtain the other half.",35,EUR,999,"cosplay,costume,accessories,byleth,rhea,cloude,dedue,fire_emblem,three_houses,pattern,model,pepakura,foam",,https://i.etsystatic.com/22599197/r/il/d80f8f/4973643320/il_fullxfull.4973643320_9op3.jpg,https://i.etsystatic.com/22599197/r/il/f9610b/5021893599/il_fullxfull.5021893599_j7za.jpg,https://i.etsystatic.com/22599197/r/il/568464/4973640776/il_fullxfull.4973640776_gzsh.jpg,https://i.etsystatic.com/22599197/r/il/26f4d2/5021893859/il_fullxfull.5021893859_2dxt.jpg,https://i.etsystatic.com/22599197/r/il/269a08/4973641254/il_fullxfull.4973641254_8ly9.jpg,https://i.etsystatic.com/22599197/r/il/4ca9b1/5021894265/il_fullxfull.5021894265_4dd2.jpg,https://i.etsystatic.com/22599197/r/il/883aa0/4980286776/il_fullxfull.4980286776_abwl.jpg,,,,,,,,,,
